name,price,url,beds,baths,sqft,year_built,hoa
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
"3926 E Coconino St, Phoenix, AZ 85044",659900,https://www.redfin.com/AZ/Phoenix/3926-E-Coconino-St-85044/home/27608560,4 beds,2 baths,2058 sq. ft.,1983,$20/mo
"5529 E Holmes Ave, Mesa, AZ 85206",599999,https://www.redfin.com/AZ/Mesa/5529-E-Holmes-Ave-85206/home/27002324,3 beds,2.5 baths,2460 sq. ft.,1998,$65/mo
"2448 S Standage --, Mesa, AZ 85202",749900,https://www.redfin.com/AZ/Mesa/2448-S-Standage-85202/home/27578585,4 beds,2 baths,2466 sq. ft.,1978,$56/mo
"441 E Pinto Dr, Gilbert, AZ 85296",549900,https://www.redfin.com/AZ/Gilbert/441-E-Pinto-Dr-85296/home/28037112,3 beds,2 baths,2105 sq. ft.,1998,$45/mo
"2616 S EL Dorado --, Mesa, AZ 85202",578000,https://www.redfin.com/AZ/Mesa/2616-S-El-Dorado-85202/home/28019892,3 beds,2 baths,2132 sq. ft.,1979,$56/mo
"3424 E Harmony Ave, Mesa, AZ 85204",669000,https://www.redfin.com/AZ/Mesa/3424-E-Harmony-Ave-85204/home/27399669,5 beds,3 baths,3151 sq. ft.,1990,$2/mo
"150 N Nielson St, Gilbert, AZ 85234",559900,https://www.redfin.com/AZ/Gilbert/150-N-Nielson-St-85234/home/27779728,5 beds,3 baths,2357 sq. ft.,1990,$52/mo
"1890 E Sagittarius Pl, Chandler, AZ 85249",1549000,https://www.redfin.com/AZ/Chandler/1890-E-Sagittarius-Pl-85249/home/28000151,6 beds,4.5 baths,5236 sq. ft.,2004,$49/mo
"2893 E Cherry Hills Dr, Chandler, AZ 85249",429000,https://www.redfin.com/AZ/Chandler/2893-E-Cherry-Hills-Dr-85249/home/28356763,3 beds,2.5 baths,1837 sq. ft.,2002,$36/mo
"16235 S 39th Pl, Phoenix, AZ 85048",570000,https://www.redfin.com/AZ/Phoenix/16235-S-39th-Pl-85048/home/27008515,3 beds,2 baths,1832 sq. ft.,1988,$36/mo
"2109 W EL Alba Way, Chandler, AZ 85224",608000,https://www.redfin.com/AZ/Chandler/2109-W-El-Alba-Way-85224/home/28269663,4 beds,2 baths,2040 sq. ft.,1983,
"5215 W Del Rio St, Chandler, AZ 85226",799999,https://www.redfin.com/AZ/Chandler/5215-W-Del-Rio-St-85226/home/27309491,5 beds,3.5 baths,3175 sq. ft.,1993,$62/mo
"5031 W Ivanhoe St, Chandler, AZ 85226",670000,https://www.redfin.com/AZ/Chandler/5031-W-Ivanhoe-St-85226/home/27335475,4 beds,2 baths,2107 sq. ft.,1995,$62/mo
"5615 W Folley St, Chandler, AZ 85226",499000,https://www.redfin.com/AZ/Chandler/5615-W-Folley-St-85226/home/27327651,4 beds,2 baths,2040 sq. ft.,1986,
"1335 W Straford Dr, Chandler, AZ 85224",474900,https://www.redfin.com/AZ/Chandler/1335-W-Straford-Dr-85224/home/27579293,4 beds,2.5 baths,1548 sq. ft.,1985,$48/mo
"1831 W Armstrong Way, Chandler, AZ 85286",725000,https://www.redfin.com/AZ/Chandler/1831-W-Armstrong-Way-85286/home/27289986,4 beds,3 baths,2747 sq. ft.,1997,$47/mo
"2406 S Mulberry --, Mesa, AZ 85202",650000,https://www.redfin.com/AZ/Mesa/2406-S-Mulberry-85202/home/27343563,4 beds,2.5 baths,2651 sq. ft.,1978,$56/mo
"4611 E Fremont St, Phoenix, AZ 85042",435000,https://www.redfin.com/AZ/Phoenix/4611-E-Fremont-St-85042/home/27829394,3 beds,1.75 baths,1334 sq. ft.,1978,
"3033 E Millbrae Ln, Gilbert, AZ 85234",619000,https://www.redfin.com/AZ/Gilbert/3033-E-Millbrae-Ln-85234/home/27273883,4 beds,3 baths,2146 sq. ft.,1996,$63/mo
"324 E Riviera Dr, Tempe, AZ 85282",485000,https://www.redfin.com/AZ/Tempe/324-E-Riviera-Dr-85282/home/27787094,4 beds,2 baths,2019 sq. ft.,1962,
